Action,Item,Open Rate,Open Time,Close Rate,Close Time,Net Profit,Profile
Buy,DJ30,35915.9,2021-11-22T16:43:57.283Z,35918.25,2021-11-25T04:50:48.163Z,0.13,fijnje
Buy,DJ30,35850.9,2021-11-22T17:28:24.19Z,35914.75,2021-11-25T04:15:57.763Z,3.56,fijnje
Buy,SPX500,4712.85,2021-11-22T17:28:18.39Z,4714.94,2021-11-25T04:15:54.087Z,0.708,fijnje
Buy,NASDAQ100,16349.7,2021-11-23T06:08:21.77Z,16361.95,2021-11-24T20:21:27.717Z,1.5,fijnje
Buy,DJ30,35762.2,2021-11-24T18:54:45.837Z,35784.9,2021-11-24T20:12:14.08Z,1.27,fijnje
Buy,SPX500,4693.24,2021-11-23T20:59:50.92Z,4697.67,2021-11-24T20:12:11.183Z,1.89,fijnje
Buy,NASDAQ100,16313.05,2021-11-24T18:55:13.397Z,16339.95,2021-11-24T20:12:08.793Z,3.3,fijnje
Buy,DJ30,35716.2,2021-11-24T15:30:24.15Z,35755.2,2021-11-24T16:31:56.313Z,2.185,fijnje
Buy,SPX500,4681.14,2021-11-24T15:30:20.803Z,4691.54,2021-11-24T16:31:53.273Z,4.445,fijnje
Buy,NASDAQ100,16254.95,2021-11-24T15:30:17.877Z,16324.55,2021-11-24T16:31:50.853Z,8.565,fijnje
Buy,NASDAQ100,16239.2,2021-11-24T10:51:51.93Z,16254.85,2021-11-24T15:29:26.143Z,1.925,fijnje
Buy,DJ30,35681.25,2021-11-24T10:52:00.037Z,35713.7,2021-11-24T15:29:24.1Z,1.82,fijnje
Buy,SPX500,4674.61,2021-11-24T10:51:56.043Z,4681.04,2021-11-24T15:29:20.93Z,2.75,fijnje
Buy,DJ30,35619.75,2021-11-24T14:06:30.617Z,35711.7,2021-11-24T15:29:17.95Z,5.165,fijnje
Buy,SPX500,4664.99,2021-11-24T14:06:25.97Z,4680.54,2021-11-24T15:29:15.66Z,6.665,fijnje
Buy,NASDAQ100,16187.0,2021-11-24T14:06:19.87Z,16251.35,2021-11-24T15:29:13.417Z,7.95,fijnje
Buy,NASDAQ100,16308.0,2021-11-23T21:00:13.843Z,16338.0,2021-11-24T06:18:11.507Z,3.68,fijnje
Buy,SPX500,4687.38,2021-11-22T20:58:40.873Z,4691.24,2021-11-23T20:51:57.233Z,1.645,fijnje
Buy,NASDAQ100,16248.75,2021-11-23T15:36:47.637Z,16258.25,2021-11-23T20:09:49.6Z,1.17,fijnje
Buy,DJ30,35782.2,2021-11-23T19:52:11.41Z,35799.2,2021-11-23T19:56:39.06Z,0.95,fijnje
Buy,SPX500,4679.32,2021-11-23T06:08:25.837Z,4683.31,2021-11-23T19:56:36.84Z,1.705,fijnje
Buy,SPX500,4669.74,2021-11-23T15:36:52.377Z,4677.21,2021-11-23T19:50:39.923Z,3.2,fijnje
Buy,NASDAQ100,16177.45,2021-11-23T19:04:59.54Z,16224.35,2021-11-23T19:50:36.51Z,5.8,fijnje
Buy,DJ30,35644.5,2021-11-22T20:58:45.187Z,35758.7,2021-11-23T19:50:32.877Z,6.41,fijnje
Buy,SPX500,4659.34,2021-11-23T18:32:41.183Z,4676.96,2021-11-23T19:50:30.333Z,7.565,fijnje
Buy,DJ30,35578.9,2021-11-23T15:36:55.993Z,35750.7,2021-11-23T19:50:26.87Z,9.655,fijnje
Buy,DJ30,35603.45,2021-11-23T06:08:30.437Z,35630.95,2021-11-23T10:31:20.713Z,1.545,fijnje
Buy,SPX500,4666.22,2021-11-23T07:16:02.883Z,4680.02,2021-11-23T10:31:14.89Z,5.915,fijnje
Buy,NASDAQ100,16300.3,2021-11-23T07:15:57.587Z,16340.0,2021-11-23T10:31:12.71Z,4.87,fijnje
Buy,DJ30,35507.45,2021-11-23T07:16:07.4Z,35631.95,2021-11-23T10:31:09.42Z,7.015,fijnje
Buy,SPX500,4714.32,2021-11-22T09:23:41.307Z,4733.25,2021-11-22T14:54:59.763Z,8.03,fijnje
Buy,DJ30,35722.85,2021-11-22T09:23:45.463Z,35872.4,2021-11-22T14:54:57.12Z,8.375,fijnje
Buy,NASDAQ100,16645.3,2021-11-22T09:23:37.48Z,16729.65,2021-11-22T14:54:54.7Z,10.135,fijnje
Buy,SPX500,4710.38,2021-11-19T16:47:17.35Z,4712.65,2021-11-22T08:36:55.4Z,0.965,fijnje
Buy,NASDAQ100,16617.1,2021-11-22T05:32:04.667Z,16628.9,2021-11-22T08:36:52.543Z,1.42,fijnje
Buy,DJ30,35701.0,2021-11-19T18:11:00.943Z,35736.85,2021-11-22T08:36:50.177Z,2.01,fijnje
Buy,NASDAQ100,16609.85,2021-11-19T16:47:23.653Z,16624.4,2021-11-22T02:41:24.79Z,1.75,fijnje
Buy,DJ30,35657.35,2021-11-21T23:00:54.437Z,35699.85,2021-11-22T02:41:18.887Z,2.385,fijnje
Buy,SPX500,4698.57,2021-11-19T18:46:01.303Z,4698.25,2021-11-19T21:14:30.573Z,-0.135,fijnje
Buy,DJ30,35607.5,2021-11-19T18:56:11.26Z,35605.85,2021-11-19T21:13:54.557Z,-0.095,fijnje
Buy,NASDAQ100,16559.65,2021-11-19T18:46:06.607Z,16575.0,2021-11-19T21:11:09.88Z,1.855,fijnje
Buy,DJ30,35698.95,2021-11-19T10:21:36.72Z,35703.4,2021-11-19T16:31:32.633Z,0.25,fijnje
Buy,SPX500,4696.93,2021-11-19T10:21:33.413Z,4697.08,2021-11-19T13:50:37.463Z,0.065,fijnje
Buy,NASDAQ100,16536.5,2021-11-19T10:21:39.607Z,16552.2,2021-11-19T12:56:53.98Z,1.9,fijnje
Buy,China A50 Index,15635.0,2021-11-16T06:22:59.14Z,15630.5,2021-11-19T06:14:04.043Z,-0.232,fijnje
Buy,DJ30,35793.6,2021-11-18T16:19:23.593Z,35838.1,2021-11-18T16:39:15.24Z,2.485,fijnje
Buy,SPX500,4689.55,2021-11-18T16:19:20.49Z,4697.51,2021-11-18T16:39:12.23Z,3.395,fijnje
Buy,NASDAQ100,16393.75,2021-11-18T16:19:27.48Z,16442.65,2021-11-18T16:39:08.98Z,5.965,fijnje
Buy,NASDAQ100,16436.85,2021-11-05T14:47:18.89Z,16446.45,2021-11-18T16:38:40.467Z,0.936,fijnje
Buy,DJ30,35983.8,2021-11-17T16:09:52.083Z,35993.55,2021-11-18T09:02:35.17Z,0.54,fijnje
Buy,SPX500,4701.12,2021-11-17T12:48:50.91Z,4704.35,2021-11-18T09:02:32.567Z,1.375,fijnje
Buy,DJ30,35962.8,2021-11-17T17:34:44.657Z,35978.55,2021-11-18T08:50:59.97Z,0.875,fijnje
Buy,SPX500,4695.22,2021-11-17T16:09:47.667Z,4700.6,2021-11-18T08:50:57.307Z,2.29,fijnje
Buy,NASDAQ100,16342.15,2021-11-17T16:09:56.42Z,16375.3,2021-11-18T08:50:54.377Z,4.055,fijnje
Buy,SPX500,4689.12,2021-11-17T17:34:36.513Z,4700.6,2021-11-18T08:50:51.38Z,4.895,fijnje
Buy,NASDAQ100,16325.8,2021-11-17T12:49:00.233Z,16375.0,2021-11-18T08:50:48.94Z,6.025,fijnje
Buy,DJ30,36116.85,2021-11-17T03:52:35.53Z,36160.85,2021-11-17T08:29:01.79Z,2.435,fijnje
Buy,SPX500,4695.97,2021-11-17T03:52:30.307Z,4704.12,2021-11-17T08:28:59.37Z,3.47,fijnje
Buy,NASDAQ100,16286.0,2021-11-17T03:52:40.25Z,16322.7,2021-11-17T08:28:56.573Z,4.505,fijnje
Buy,SPX500,4715.38,2021-11-05T14:47:33.447Z,4711.5,2021-11-16T18:32:51.4Z,-1.4622,fijnje
Buy,DJ30,36265.0,2021-11-10T17:21:15.927Z,36264.7,2021-11-16T17:04:19.26Z,-0.0136,fijnje
Buy,NASDAQ100,16221.45,2021-11-15T14:54:59.333Z,16227.15,2021-11-16T14:58:40.023Z,0.6266,fijnje
Buy,SPX500,4692.49,2021-11-15T14:54:52.877Z,4694.87,2021-11-16T14:58:37.917Z,1.015,fijnje
Buy,SPX500,4690.9,2021-11-15T16:13:45.927Z,4694.87,2021-11-16T14:58:35.84Z,1.695,fijnje
Buy,NASDAQ100,16206.1,2021-11-16T05:12:17.007Z,16228.15,2021-11-16T14:58:33.787Z,2.72,fijnje
Buy,SPX500,4685.27,2021-11-16T05:12:04.247Z,4694.62,2021-11-16T14:58:31.403Z,3.99,fijnje
Buy,DJ30,36178.1,2021-11-15T14:54:56Z,36265.0,2021-11-16T14:58:29.153Z,4.805,fijnje
Buy,SPX500,4680.52,2021-11-16T11:08:56.73Z,4694.12,2021-11-16T14:58:26.85Z,5.81,fijnje
Buy,NASDAQ100,16169.6,2021-11-16T11:09:13.3Z,16225.35,2021-11-16T14:58:24.603Z,6.895,fijnje
Buy,DJ30,36114.2,2021-11-15T17:03:36.353Z,36262.5,2021-11-16T14:58:22.41Z,8.215,fijnje
Buy,DJ30,36097.05,2021-11-16T05:12:11.22Z,36262.5,2021-11-16T14:58:19.633Z,9.165,fijnje
Buy,HKG50,25665.2,2021-11-16T06:46:43.367Z,25669.7,2021-11-16T11:20:11.907Z,0.175,fijnje
Buy,NASDAQ100,16187.05,2021-11-15T16:13:29.4Z,16199.8,2021-11-15T21:58:23.033Z,1.575,fijnje
Buy,SPX500,4680.7,2021-11-15T17:03:31.78Z,4685.97,2021-11-15T21:58:19.107Z,2.25,fijnje
Buy,NASDAQ100,16143.55,2021-11-15T17:03:41.58Z,16199.7,2021-11-15T21:58:14.357Z,6.955,fijnje
Buy,NASDAQ100,16234.0,2021-11-15T05:50:44.993Z,16237.8,2021-11-15T11:53:05.79Z,0.47,fijnje
Buy,DJ30,36190.2,2021-11-10T18:29:11.29Z,36200.15,2021-11-15T11:53:01.59Z,0.55,fijnje
Buy,SPX500,4686.69,2021-11-15T05:50:34.053Z,4694.69,2021-11-15T11:52:58.333Z,3.415,fijnje
Buy,DJ30,36093.65,2021-11-15T05:50:38.64Z,36200.15,2021-11-15T11:52:54.677Z,5.9,fijnje
Buy,DJ30,36085.8,2021-11-12T16:41:12.87Z,36129.7,2021-11-12T20:37:26.167Z,2.435,fijnje
Buy,SPX500,4680.02,2021-11-12T16:41:21.233Z,4686.18,2021-11-12T20:37:23.98Z,2.63,fijnje
Buy,NASDAQ100,16187.75,2021-11-12T16:41:17.223Z,16211.75,2021-11-12T20:37:21.877Z,2.965,fijnje
Buy,NASDAQ100,16184.55,2021-11-12T18:28:43.88Z,16212.35,2021-11-12T20:37:18.02Z,3.435,fijnje
Buy,SPX500,4678.12,2021-11-12T18:28:48.73Z,4686.43,2021-11-12T20:37:15.65Z,3.555,fijnje
Buy,DJ30,36053.3,2021-11-12T18:28:38.377Z,36130.7,2021-11-12T20:37:12.397Z,4.295,fijnje
Buy,SPX500,4675.18,2021-11-10T17:21:27.143Z,4678.27,2021-11-12T16:22:21.827Z,1.1733,fijnje
Buy,DJ30,36037.5,2021-11-12T14:38:08.123Z,36085.8,2021-11-12T16:22:18.967Z,2.68,fijnje
Buy,NASDAQ100,16137.35,2021-11-10T17:21:20.813Z,16177.55,2021-11-12T16:22:16.84Z,4.4266,fijnje
Buy,DJ30,35976.8,2021-11-11T17:29:37.34Z,36088.3,2021-11-12T16:22:14.63Z,6.2,fijnje
Buy,SPX500,4653.19,2021-11-11T17:29:47.927Z,4678.52,2021-11-12T16:22:12.367Z,10.885,fijnje
Buy,NASDAQ100,16047.65,2021-11-11T17:29:42.477Z,16177.05,2021-11-12T16:22:09.75Z,16.125,fijnje
Buy,SPX500,4652.97,2021-11-12T14:38:14.243Z,4678.02,2021-11-12T16:22:07.997Z,10.765,fijnje
Buy,NASDAQ100,16023.35,2021-11-12T14:38:11.037Z,16174.35,2021-11-12T16:22:05.133Z,18.85,fijnje
Buy,SPX500,4662.28,2021-11-10T18:29:20.837Z,4665.0,2021-11-11T10:24:49.663Z,1.165,fijnje
Buy,NASDAQ100,16065.35,2021-11-10T18:29:16.093Z,16087.7,2021-11-11T10:24:45.2Z,2.78,fijnje
Buy,DJ30,36085.2,2021-11-10T19:53:11.817Z,36094.95,2021-11-11T07:00:04.947Z,0.54,fijnje
Buy,SPX500,4643.68,2021-11-10T19:53:22.233Z,4652.1,2021-11-11T01:06:20.1Z,3.625,fijnje
Buy,NASDAQ100,15959.55,2021-11-10T19:53:17.117Z,16024.2,2021-11-11T01:06:14.907Z,8.1,fijnje
Buy,SPX500,4670.93,2021-11-10T12:10:43.43Z,4678.23,2021-11-10T15:33:23.487Z,3.125,fijnje
Buy,NASDAQ100,16141.2,2021-11-10T12:10:40.363Z,16185.25,2021-11-10T15:33:21.25Z,5.46,fijnje
Buy,DJ30,36231.25,2021-11-10T12:10:37.403Z,36239.2,2021-11-10T14:39:31.503Z,0.44,fijnje
