Action,Item,Invested,Net Profit,Value,Buy,Sell,Profile
Buy,SPX500,2.6121,-3.2141,2.875096224064571,4716.54,4715.79,fijnje
Buy,NASDAQ100,4.408,-8.1552,4.604036702094322,16430.9,16428.5,fijnje
Buy,DJ30,2.6121,-6.447,2.7790598051495246,35911.25,35905.25,fijnje
Buy,Bitcoin Cash,2.9496,-82.4986,0.587059604860284,618.39,606.76,fijnje
Buy,XRP,10.5986,-61.724,4.613386928684073,1.0394,1.0135,fijnje
Buy,Dash,2.8733,-86.2596,0.44898542729802043,206.29,200.4,fijnje
Buy,Amazon,5.3903,8.6467,5.820483573180146,3583.6524,3575.9687,robertmerc
Buy,Vale SA,2.188,-8.0318,1.9999435200321714,12.7314,12.6986,robertmerc
Buy,Las Vegas Sands Corp,3.116,-16.0622,2.5995255600049987,40.086,39.984,robertmerc
Buy,Nokia Oyj,2.1946,34.0326,2.9235167941942954,5.7652,5.7448,robertmerc
Buy,"Micron Technology, Inc.",3.6856,8.9253,3.9900240800998055,86.3777,86.2123,robertmerc
Buy,Lockheed Martin Corporation,4.6908,-0.3462,4.645961603116114,344.0694,343.2308,robertmerc
Buy,Dropbox Inc,4.8267,2.3281,4.908856099698972,24.5521,24.4979,robertmerc
Buy,"Overstock.com, Inc.",2.5195,5.6574,2.645817992323665,92.9836,92.7365,robertmerc
Buy,GoPro Inc,4.8566,6.1912,5.125680489620195,10.5095,10.4806,robertmerc
Buy,Walgreens Boots Alliance Inc,2.915,-5.742,2.7308078964262665,46.672,46.578,robertmerc
Buy,Energy Transfer Equity LP,3.0155,34.3239,4.025776092413349,9.0581,9.0319,robertmerc
Buy,Bristol-Myers Squibb Co,4.3325,-7.3297,3.990399112909819,56.8511,56.7389,robertmerc
Buy,Discovery Communications Inc,8.906,-10.0121,7.9652137110919465,25.2127,25.1573,robertmerc
Buy,Fiserv Inc,3.6856,-10.7038,3.270989504627256,99.4294,99.2406,robertmerc
Buy,Zillow Group Inc,6.7823,-27.8433,4.863935171224519,56.5509,56.4292,robertmerc
Buy,Regeneron Pharmaceuticals,4.2568,21.7001,5.148838595804818,648.9836,647.4568,robertmerc
Buy,Royal Mail,3.8432,0.7196,3.847183783267975,512.26,510.54,robertmerc
Buy,Transocean LTD,2.3085,-11.1423,2.0387390657930884,3.2129,3.1971,robertmerc
Buy,Corsair Gaming Inc,2.1656,-12.556,1.8821079214095493,23.4411,23.3789,robertmerc
Buy,Porsche Automobil Holding SE,3.6856,-4.2285,3.508186711109062,79.67,79.51,robertmerc
Buy,Neurocrine Biosciences Inc,3.4378,-6.5353,3.193456409655051,87.9591,87.731,robertmerc
Buy,Dave & Busters Entertainment Inc,4.0207,5.8791,4.231022648048942,36.4728,36.3672,robertmerc
Buy,Nano Dimension Ltd,0.9214,-57.2268,0.391703314795215,5.1046,5.0854,robertmerc
Buy,BioNTech SE,4.5982,18.6097,5.420496002730527,305.6549,304.6955,robertmerc
Buy,Palantir Technologies Inc.,1.3977,4.272,1.448519695612719,21.149,21.101,robertmerc
Buy,Bitcoin,5.4615,21.4253,6.590989916614551,57745.41,57313.84,robertmerc
Sell,EUR/USD,8.2621,40.051,10.963215114980876,1.12213,1.12204,fundmanagerzech
Sell,USD/MXN,5.9449,-34.6597,3.6803442841137706,21.41307,21.4082,fundmanagerzech
Buy,Intel,3.8237,0.9516,3.657254455215858,49.8148,49.7152,fundmanagerzech
Buy,Walgreens Boots Alliance Inc,2.8373,-7.1869,2.495074644318612,46.672,46.578,fundmanagerzech
Buy,Williams Companies Inc,0.6755,147.5281,1.5843452293458882,28.5757,28.5143,fundmanagerzech
Buy,Yum Brands Inc,0.6755,124.4692,1.4367524525324267,127.0442,126.7558,fundmanagerzech
Buy,Newmont Mining Corp,4.6749,-13.6736,3.8236180771666723,55.5299,55.4101,fundmanagerzech
Buy,Discovery Communications Inc,2.6076,-2.3652,2.412219645585771,25.2127,25.1573,fundmanagerzech
Buy,China Petroleum & Chemical Corporation,9.5254,1.3827,9.149730832492251,3.673,3.657,fundmanagerzech
Buy,Alibaba Group Holding Ltd (Hong Kong),5.1478,-6.7398,4.548585968450301,135.62,135.28,fundmanagerzech
Buy,VanEck Vectors Russia ETF,7.85,4.2162,7.751163193787114,28.926,28.864,fundmanagerzech
Buy,ISHARES MSCI MEXICO CAPPED,4.9856,-0.1085,4.718563708505251,46.0614,45.9686,fundmanagerzech
Buy,Barrick Gold,4.6749,-11.9146,3.9015308746574604,19.4275,19.3825,fundmanagerzech
Buy,Restaurant Brands International Inc.,0.6755,85.3535,1.1863860516301326,58.8129,58.6672,fundmanagerzech
Buy,Heat Biologics Inc,1.4186,-46.4755,0.7194440269635328,4.494,4.476,fundmanagerzech
Buy,Cameco Corp,5.472,14.9886,5.961629835867486,25.2727,25.2173,fundmanagerzech
Buy,Equity Commonwealth,2.7427,0.6168,2.614699181309052,26.1335,26.0765,fundmanagerzech
Buy,Ethereum,0.2924,361.6655,1.279323526575288,4325.4977,4244.1074,fundmanagerzech
Buy,Cardano,2.2086,31.2111,2.74570178146872,1.6475,1.5995,fundmanagerzech
Buy,Binance Coin,0.8745,91.886,1.5900012712581537,618.48,603.52,fundmanagerzech
Buy,Polkadot,4.9181,-0.3987,4.641105907473715,39.109,37.9721,fundmanagerzech
Buy,Polygon,1.8184,26.9314,2.1868773522697853,1.7754,1.7236,fundmanagerzech
Buy,Alphabet,5.3386,1.1907,5.5109202803058395,2937.111,2930.7599,eddyb123
Buy,Meta Platforms Inc,3.3811,31.8446,4.54755752829042,341.5571,340.803,eddyb123
Buy,Microsoft,3.559,1.8296,3.697141094583275,338.1942,337.536,eddyb123
Buy,Amazon,3.0252,11.879,3.4527074823288024,3583.6524,3575.9687,eddyb123
Buy,"First Solar, Inc.",2.1354,-9.5639,1.9700834316577145,108.4775,108.1726,eddyb123
Buy,"Netflix, Inc.",3.559,-2.9773,3.5226125655969147,658.9325,657.3279,eddyb123
Buy,"Baidu, Inc.",1.7795,-7.0411,1.6875349828766963,151.6163,151.2937,eddyb123
Buy,Check Point Software Technologies,1.7795,-2.9739,1.7613694581152433,111.7004,111.4796,eddyb123
Buy,Alibaba,2.6693,-33.892,1.8001420963612647,136.7329,136.3372,eddyb123
Buy,Spotify ,3.559,-17.0268,3.0125181260373144,250.0448,249.3754,eddyb123
Buy,Cara Therapeutics ,1.4236,-24.0119,1.103562829915442,13.382,13.338,eddyb123
Buy,Cronos Group Inc,1.4236,-52.9814,0.6828438010959035,4.8243,4.8057,eddyb123
Buy,Uber,2.6693,-3.4664,2.6286413324721214,42.0979,42.0122,eddyb123
Buy,PayPal Holdings,2.6693,-18.3988,2.2220275244621526,188.8798,188.5002,eddyb123
Buy,Advanced Micro Devices Inc,2.1354,25.1743,2.7268336487582143,158.0721,157.7779,eddyb123
Buy,Salesforce.com Inc,5.3386,-4.0271,5.226749779556358,289.4903,288.8199,eddyb123
Buy,"Square, Inc.",1.7795,-16.3965,1.5177006210976456,215.9242,215.4359,eddyb123
Buy,SolarEdge Technologies,2.6693,-0.8415,2.700119473049864,348.7636,347.8565,eddyb123
Buy,Tencent,1.7795,3.4565,1.8781061665403496,478.63,477.57,eddyb123
Buy,SPDR Gold,4.8403,3.8047,5.125640936798126,167.2704,166.9596,eddyb123
Buy,iShares Core FTSE 100 UCITS ETF (Dist),3.559,5.4136,3.8272677224940477,716.94,715.36,eddyb123
Sell,Invesco China Technology ETF,3.559,9.5342,3.9768753685116907,68.4916,68.2985,eddyb123
Buy,CyberArk,1.7795,20.5756,2.188877982279382,174.9373,174.5328,eddyb123
Buy,Mandiant Inc,2.6693,1.0272,2.751008398386813,17.1955,17.1545,eddyb123
Buy,Atlassian Corp PLC A,1.7795,-13.0843,1.5778292249292982,393.3937,392.4965,eddyb123
Buy,Tencent Music Entertainment Group,1.7795,-7.3657,1.6816411790243502,7.4367,7.4133,eddyb123
Buy,Fiverr International ,1.7795,-13.0013,1.5793363339649613,145.641,145.2092,eddyb123
Buy,Douyu ,2.1354,-10.2834,1.9544095049482453,2.9226,2.9074,eddyb123
Buy,Cloudflare,3.559,1.8019,3.696136485326721,197.4475,196.9925,eddyb123
Buy,Peloton Interactive,1.7795,-50.9168,0.8910347994523592,43.9495,43.8605,eddyb123
Buy,Sumo Logic Inc. ,1.7795,-15.5974,1.5322079688054637,14.3729,14.3271,eddyb123
Buy,Snowflake Inc.,1.7795,53.2355,2.781771641633011,355.98,354.8803,eddyb123
Buy,Oatly Group AB,1.7795,-24.6543,1.3677917093935361,9.8388,9.8012,eddyb123
Buy,Ethereum,1.9574,42.6259,2.8480860712077534,4325.4977,4244.1074,eddyb123
Buy,Cardano,2.1478,-20.8048,1.7352451934208573,1.6475,1.5995,eddyb123
Buy,Amazon,3.8467,7.9715,4.042287974622421,3583.6524,3575.9687,hugomanenti95
Buy,"Micron Technology, Inc.",4.9238,4.202,4.993487233798628,86.3777,86.2123,hugomanenti95
Buy,Abercrombie & Fitch Company,1.8464,-2.7875,1.7469513207866036,39.2953,39.2147,hugomanenti95
Buy,Pinterest Inc,1.5386,-9.8789,1.3495962159442672,42.3981,42.3119,hugomanenti95
Buy,Levi Strauss & Co. ,2.1541,8.4412,2.2735280053995606,28.2254,28.1446,hugomanenti95
